Time,h1,h2,h3,h4,v1,v2
1.100137517189648833e+02,1.677692502546667200e-03,7.040576501450727942e-03,1.839959225280326247e-03,8.484403667251208883e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.110138767345918325e+02,1.677692379342625613e-03,7.040576502872938382e-03,1.839959225280326247e-03,8.484403667704547639e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.120140017502187817e+02,1.677692567344069670e-03,7.040576503301423754e-03,1.839959225280326247e-03,8.484403667840872618e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.130141267658457451e+02,1.677692551905375076e-03,7.040576503583038763e-03,1.839959225280326247e-03,8.484403667930377410e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.140142517814726943e+02,1.677692537930377484e-03,7.040576503847522510e-03,1.839959225280326247e-03,8.484403668014435171e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.150143767970996436e+02,1.677692525136821123e-03,7.040576504096117925e-03,1.839959225280326247e-03,8.484403668093441417e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.160145018127265928e+02,1.677692513257815097e-03,7.040576504330384525e-03,1.839959225280326247e-03,8.484403668167897483e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.170146268283535562e+02,1.677692502016327972e-03,7.040576504553094396e-03,1.839959225280326247e-03,8.484403668238681140e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.180147518439805054e+02,1.677692494560332516e-03,7.040576504766036040e-03,1.839959225280326247e-03,8.484403668306359642e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.190148768596074547e+02,1.677692412542277842e-03,7.040576505704605574e-03,1.839959225280326247e-03,8.484403668604988819e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.200150018752344181e+02,1.677692426792832354e-03,7.040576505870282942e-03,1.839959225280326247e-03,8.484403668657611655e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.210151268908613673e+02,1.677692439805935319e-03,7.040576506025970904e-03,1.839959225280326247e-03,8.484403668707061683e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.220152519064883165e+02,1.677692451850404691e-03,7.040576506172573253e-03,1.839959225280326247e-03,8.484403668753626865e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.230153769221152800e+02,1.677692463198756419e-03,7.040576506311566236e-03,1.839959225280326247e-03,8.484403668797775577e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.240155019377422292e+02,1.677692472362946009e-03,7.040576506445048871e-03,1.839959225280326247e-03,8.484403668840173954e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.250156269533691784e+02,1.677692567564091370e-03,7.040576507092333181e-03,1.839959225280326247e-03,8.484403669045896546e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.260157519689961276e+02,1.677692552096717027e-03,7.040576507194000987e-03,1.839959225280326247e-03,8.484403669078176280e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.270158769846230911e+02,1.677692538098991305e-03,7.040576507289484504e-03,1.839959225280326247e-03,8.484403669108488838e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.280160020002500403e+02,1.677692525287794757e-03,7.040576507379233892e-03,1.839959225280326247e-03,8.484403669136983406e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.290161270158770037e+02,1.677692513395297354e-03,7.040576507463811202e-03,1.839959225280326247e-03,8.484403669163835190e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.300162520315039387e+02,1.677692502143845977e-03,7.040576507544211299e-03,1.839959225280326247e-03,8.484403669189359912e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.310163770471309022e+02,1.677692493018808880e-03,7.040576507621911298e-03,1.839959225280326247e-03,8.484403669214029414e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.320165020627578656e+02,1.677692405775288095e-03,7.040576508039951033e-03,1.839959225280326247e-03,8.484403669346789537e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.330166270783848006e+02,1.677692420668130697e-03,7.040576508096299188e-03,1.839959225280326247e-03,8.484403669364674536e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.340167520940117640e+02,1.677692434197725459e-03,7.040576508149230806e-03,1.839959225280326247e-03,8.484403669381473598e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.350168771096387275e+02,1.677692446639559480e-03,7.040576508199015635e-03,1.839959225280326247e-03,8.484403669397275194e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.360170021252656625e+02,1.677692458261684835e-03,7.040576508246030110e-03,1.839959225280326247e-03,8.484403669412195551e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.370171271408926259e+02,1.677692469356978572e-03,7.040576508291061797e-03,1.839959225280326247e-03,8.484403669426487937e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.380172521565195609e+02,1.677692477222957924e-03,7.040576508334788972e-03,1.839959225280326247e-03,8.484403669440367460e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.390173771721465243e+02,1.677692545070258402e-03,7.040576508593829157e-03,1.839959225280326247e-03,8.484403669522595087e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.400175021877734878e+02,1.677692531685805784e-03,7.040576508623510275e-03,1.839959225280326247e-03,8.484403669532014636e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.410176272034004228e+02,1.677692519357452169e-03,7.040576508651434987e-03,1.839959225280326247e-03,8.484403669540877338e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.420177522190273862e+02,1.677692507816077542e-03,7.040576508677829672e-03,1.839959225280326247e-03,8.484403669549254318e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.430178772346543496e+02,1.677692496761618761e-03,7.040576508703200870e-03,1.839959225280326247e-03,8.484403669557305169e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.440180022502812847e+02,1.677692489000096650e-03,7.040576508728009150e-03,1.839959225280326247e-03,8.484403669565179079e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.450181272659082481e+02,1.677692428872643070e-03,7.040576508886711195e-03,1.839959225280326247e-03,8.484403669615541571e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.460182522815352115e+02,1.677692441722658393e-03,7.040576508902648967e-03,1.839959225280326247e-03,8.484403669620598290e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.470183772971621465e+02,1.677692453642696917e-03,7.040576508917667335e-03,1.839959225280326247e-03,8.484403669625365310e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.480185023127891100e+02,1.677692464910527769e-03,7.040576508931938038e-03,1.839959225280326247e-03,8.484403669629894673e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.490186273284160734e+02,1.677692475866746774e-03,7.040576508945963277e-03,1.839959225280326247e-03,8.484403669634344239e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.500187523440430084e+02,1.677692480935544586e-03,7.040576508959523611e-03,1.839959225280326247e-03,8.484403669638646353e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.510188773596699718e+02,1.677692515423846991e-03,7.040576509052706884e-03,1.839959225280326247e-03,8.484403669668218184e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.520190023752969353e+02,1.677692504083916477e-03,7.040576509060825390e-03,1.839959225280326247e-03,8.484403669670792514e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.530191273909238703e+02,1.677692493111000976e-03,7.040576509068737464e-03,1.839959225280326247e-03,8.484403669673302659e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.540192524065508337e+02,1.677692486724494635e-03,7.040576509076525505e-03,1.839959225280326247e-03,8.484403669675774640e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.550193774221777971e+02,1.677692447496679194e-03,7.040576509132511103e-03,1.839959225280326247e-03,8.484403669693539943e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.560195024378047322e+02,1.677692459067340290e-03,7.040576509136999700e-03,1.839959225280326247e-03,8.484403669694964151e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.570196274534316956e+02,1.677692470134021932e-03,7.040576509141308753e-03,1.839959225280326247e-03,8.484403669696332848e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.580197524690586306e+02,1.677692479864072031e-03,7.040576509145655103e-03,1.839959225280326247e-03,8.484403669697713687e-03,1.500000000000000000e+00,5.000000000000000000e-01
